,Is Sensor Change Signal or not,Is Magnetic Sensor Open,Is Temperature Sensor Open,Is Vibration Sensor Open,Is Sound Sensor Open,Is Camera Sensor Open,Magnetic Field Threshold,Temperature Threshold,Vibration Threshold,Sound Threshold,Camera Background Color,Behavior Type,Area Trigger Type,Left(Light Area) Camera Threshold,Right Camera Threshold,Action,Step,Function,Duration,Frequency,Dead Time
0,False,True,True,True,True,True,2000,28,10,80,255,Light Dark Box,Stop stimulation while mice in the ROI.,500,6000,1,Step1,Rest,10,1,0
1,False,True,True,True,True,True,2000,28,10,80,255,Light Dark Box,Stop stimulation while mice in the ROI.,500,6000,1,Step2,Stimulation,10,10,0
